2020-12-24 03:48:38,888:INFO:discord.client: | logging in using static token
2020-12-24 03:48:39,034:DEBUG:discord.http: | GET https://discord.com/api/v7/users/@me with None has returned 200
2020-12-24 03:48:39,034:DEBUG:discord.http: | GET https://discord.com/api/v7/users/@me has received {'id': '791124362504962100', 'username': 'Aya-chan', 'avatar': 'a0e79c99d7d53a2072580da5e5480ddf', 'discriminator': '9393', 'public_flags': 0, 'flags': 0, 'bot': True, 'email': None, 'verified': True, 'locale': 'en-US', 'mfa_enabled': True}
2020-12-24 03:48:39,057:DEBUG:discord.http: | GET https://discord.com/api/v7/gateway with None has returned 200
2020-12-24 03:48:39,057:DEBUG:discord.http: | GET https://discord.com/api/v7/gateway has received {'url': 'wss://gateway.discord.gg'}
2020-12-24 03:48:39,142:DEBUG:discord.gateway: | Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6&compress=zlib-stream
2020-12-24 03:48:39,143:DEBUG:discord.client: | Dispatching event socket_raw_receive
2020-12-24 03:48:39,143:DEBUG:discord.gateway: | For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-main-n391",{"micros":0.0}]']}}
2020-12-24 03:48:39,143:DEBUG:discord.client: | Dispatching event socket_response
2020-12-24 03:48:39,143:DEBUG:discord.client: | Dispatching event socket_raw_send
2020-12-24 03:48:39,144:DEBUG:discord.client: | Dispatching event socket_raw_send
2020-12-24 03:48:39,144:INFO:discord.gateway: | Shard ID None has sent the IDENTIFY payload.
2020-12-24 03:48:39,191:DEBUG:discord.client: | Dispatching event socket_raw_receive
2020-12-24 03:48:39,192:DEBUG:discord.gateway: | For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
2020-12-24 03:48:39,192:DEBUG:discord.client: | Dispatching event socket_response
2020-12-24 03:48:39,268:DEBUG:discord.client: | Dispatching event socket_raw_receive
